266364,48,87,28,8,155,41,122,118,45,10950.00
266365,138,57,59,26,228,43,211,155,96,54658.00
266665,78,61,6,5,140,45,100,142,3,18049.00
267028,NULL,3,1,NULL,4,3,1,3,NULL,900.00
267378,10,8,5,4,19,13,10,23,NULL,1550.00
267662,70,64,26,12,148,52,108,114,46,10821.00
267667,39,32,17,14,74,25,63,73,14,5780.00
267671,141,88,60,29,260,82,207,180,109,35777.00
267673,104,73,27,18,186,60,144,196,NULL,23431.00
268245,31,34,12,5,72,25,52,56,21,6786.00
268304,103,57,19,15,164,72,107,132,45,19714.00
268663,58,28,15,13,88,36,65,43,58,10177.00
269539,1,NULL,NULL,1,NULL,NULL,1,1,NULL,150.00
269618,62,52,4,7,111,62,56,105,11,7267.00
269624,21,22,3,4,42,14,32,32,14,3996.00
269626,26,12,25,4,59,14,49,56,5,13805.00
269627,49,69,6,5,119,35,89,102,22,4716.00
269628,40,25,15,11,69,15,65,35,40,6575.00
269656,48,40,29,6,111,45,72,74,43,9135.00
269664,38,24,3,1,64,20,45,53,12,3716.00
269738,28,26,4,4,54,32,26,32,26,5083.00
269754,NULL,1,1,NULL,2,NULL,2,1,NULL,550.00
269775,159,344,81,10,574,184,400,306,277,43117.00
270008,579,375,92,142,904,259,787,422,624,110506.00
270384,30,11,9,4,46,11,39,40,10,5150.00
270430,23,10,1,4,30,8,26,14,18,2285.00
275023,9,7,2,2,16,8,10,18,NULL,1134.00
275261,3,3,NULL,1,5,2,4,6,NULL,360.00
275955,14,3,8,3,22,2,23,16,9,12148.00
276091,43,75,15,4,129,72,61,39,89,13402.00
277187,32,52,8,5,87,37,55,67,24,13995.00
277745,24,8,2,4,30,13,21,21,13,2546.00
277785,76,80,7,20,143,43,120,27,118,6726.00
278079,94,150,16,21,239,86,174,154,106,19181.00
279040,172,107,16,29,266,101,194,84,211,18815.00
280307,222,129,41,41,351,99,293,114,277,31170.00
281288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281334,28,13,2,9,34,12,31,27,16,3510.00
281464,7,3,NULL,5,5,3,7,4,6,950.00
281472,32,16,8,1,55,22,34,29,27,5684.00
281518,15,15,5,3,32,11,24,30,4,5805.00
281555,11,2,2,4,11,1,14,15,NULL,860.00
282258,35,79,6,15,105,50,70,35,85,7732.00
282317,32,9,6,4,43,9,38,46,1,5396.00
282926,507,423,207,126,1011,251,886,519,618,105895.00
283827,1,NULL,NULL,1,NULL,1,NULL,1,NULL,0.00
283881,19,9,1,5,24,4,25,26,2,2090.00
284743,9,27,NULL,6,30,11,25,NULL,36,1755.00
285871,2,NULL,NULL,2,NULL,2,NULL,1,1,0.00
286330,60,27,2,11,78,27,62,54,30,3714.00
286443,111,82,6,15,184,81,118,132,63,16002.00
288305,362,387,62,48,763,415,396,743,68,56768.00
288566,242,230,156,42,586,294,334,414,214,51180.00
288576,154,171,45,27,343,226,144,204,166,29426.00
288590,85,50,6,3,138,93,48,74,67,9593.00
288625,112,111,19,12,230,175,67,162,80,34166.00
288658,45,49,8,6,96,55,47,73,29,6562.00
288944,361,207,48,28,588,350,266,335,281,41561.00
288961,115,129,23,35,232,152,115,177,90,21735.00
289668,554,675,203,106,1326,725,707,1047,385,105496.00
289922,58,35,8,5,96,51,50,93,8,10355.00
289941,96,110,15,13,208,117,104,150,71,17621.00
290142,49,33,8,20,70,27,63,21,69,5357.00
